"endTime","artistName","trackName","msPlayed"
"2022-02-20 17:58","Paramore","Grudges",90526
"2022-02-21 09:25","Wag Kang Lilingon","EPISODE 207: Kill This Love",112588
"2022-02-21 13:17","Paramore","Hallelujah",6660
"2022-02-21 13:21","Twenty One Pilots","Holding on to You",263733
"2022-02-21 14:02","Panic! At The Disco","This Is Gospel",158926
"2022-02-22 12:37","Panic! At The Disco","This Is Gospel",4101
"2022-02-22 12:41","5 Seconds of Summer","She's Kinda Hot",216454
"2022-02-22 12:45","Boys Like Girls","Love Drunk",226706
"2022-02-22 12:46","Panic! At The Disco","Hallelujah",75430
"2022-02-23 06:04","Panic! At The Disco","Hallelujah",24600
"2022-02-23 11:05","Ang Walang Kwentang Podcast","The Canonization of Sta. Jolens, Laging Tapat at Laging Totoo Feat. Letter Sender",1981980
"2022-02-24 13:59","All Time Low","Backseat Serenade",201075
"2022-02-24 14:03","The Click Five","Happy Birthday",209466
"2022-02-24 14:26","Jason Derulo","In My Head",45217
"2022-02-24 15:04","blackbear","hot girl bummer",188343
"2022-02-24 15:07","blackbear","idfc",207026
"2022-02-24 15:10","Machine Gun Kelly","my ex's best friend (with blackbear)",139460
"2022-02-24 15:14","blackbear","idfc",245172
"2022-02-24 15:16","Kane Brown","Memory",153337
"2022-02-24 15:20","blackbear","do re mi",212027
"2022-02-24 15:23","blackbear","@ my worst",191364
"2022-02-24 15:26","blackbear","queen of broken hearts",171171
"2022-02-24 15:29","All Time Low","Monsters (feat. Demi Lovato and blackbear)",174424
"2022-02-24 15:32","blackbear","me & ur ghost",201398
"2022-02-24 15:35","blackbear","hot girl bummer",188343
"2022-02-24 15:39","blackbear","me & ur ghost",201398
"2022-02-24 15:42","blackbear","queen of broken hearts",171171
"2022-02-24 15:45","blackbear","I feel bad",175066
"2022-02-24 15:49","blackbear","I feel 2 much",240037
"2022-02-24 15:52","blackbear","I felt that",202589
"2022-02-24 15:55","blackbear","sobbing in cabo",187023
"2022-02-24 15:58","blackbear","clown (with Trevor Daniel)",148164
"2022-02-24 16:01","blackbear","half alive",195109
"2022-02-25 13:37","Jason Derulo","In My Head",1362
"2022-02-25 13:40","LANY","ILYSB",211149
"2022-02-25 13:44","Taylor Swift","Welcome To New York",212600
"2022-02-25 13:49","Twenty One Pilots","Car Radio",267720
"2022-02-25 13:53","Justin Bieber","Sorry",200786
"2022-02-25 13:56","Fall Out Boy","Thnks fr th Mmrs",203506
"2022-02-25 14:00","All Time Low","Somewhere in Neverland",225292
"2022-02-25 14:04","Fall Out Boy","Just One Yesterday",244720
"2022-02-25 14:07","Mayday Parade","Jamie All Over",216000
"2022-02-25 14:08","Twenty One Pilots","We Don't Believe What's on TV",61691
